cls,qtd_features,scoring,score,features
LinearRegression(),7,r2,0.8202942847766469,"Index(['SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04', 'NDVI_d08',
       'SAVI_d08'],
      dtype='object')"
LinearRegression(),7,max_error,-15.781971800347083,"Index(['SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04', 'NDVI_d08',
       'SAVI_d08'],
      dtype='object')"
LinearRegression(),7,neg_mean_squared_error,-82.84445348623021,"Index(['SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04', 'NDVI_d08',
       'SAVI_d08'],
      dtype='object')"
LinearRegression(),7,explained_variance,0.826372651758879,"Index(['SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04', 'NDVI_d08',
       'SAVI_d08'],
      dtype='object')"
LinearRegression(),7,d2_absolute_error_score,0.552522439936062,"Index(['SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04', 'NDVI_d08',
       'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,r2,0.816017106936593,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,max_error,-15.997440038043049,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,neg_mean_squared_error,-85.04457448703965,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,explained_variance,0.8220217239418248,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),8,d2_absolute_error_score,0.5468499651896093,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08'],
      dtype='object')"
LinearRegression(),9,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),9,r2,0.8642534971610447,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),9,max_error,-15.981200099381294,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),9,neg_mean_squared_error,-65.065780276869,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),9,explained_variance,0.870106585103502,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),9,d2_absolute_error_score,0.6211156327555175,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),10,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),10,r2,0.8655536026349081,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),10,max_error,-16.041409595970162,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
